y_true,p_hat,p_hat_recal
0.0,0.0006845405429634,0.003062162028546308
0.0,0.0307388680491621,0.04949300973911117
0.0,0.1714149316204792,0.17206255824540426
0.0,0.0016975230029851,0.005972761521276774
0.0,1e-06,2.480371374890922e-05
0.0,0.0036725616490787,0.010523755327318361
0.0,0.009717998328713,0.02143886768484209
0.0,0.0050908448003449,0.013367358921191286
0.0,0.0004540252940941,0.0022630654067479
0.0,0.0003665589512142,0.0019329600668644713
0.0,0.0066540224070818,0.01625936747169536
0.0,0.048891982992939,0.06922207605453541
0.0,0.0034095621627492,0.00996584944629551
0.0,0.000336767352797,0.0018159106975991085
0.0,0.0009966196064574,0.0040373693438675124
0.0,0.0337285346350236,0.05293099955467084
0.0,0.0069084908307195,0.016711492491748105
0.0,0.0182636263261002,0.033933372383764315
0.0,0.0001998505991411,0.001236080595859092
0.0,0.4908034566908297,0.39284575622892526
0.0,0.0221101360703502,0.038982474041176156
0.0,0.6643358916107591,0.5238876867718711
0.0,0.0021042093566967,0.0069935576473147834
0.0,0.0006995153315678,0.003111340988033912
0.0,0.0017779033502667,0.00617930475233423
1.0,0.3493937728038692,0.2958682607050423
0.0,0.0042979082726039,0.011808814617727634
0.0,0.0067874111744112,0.016496945866920586
0.0,0.0014892802325993,0.005424983724674067
0.0,0.0022052555477895,0.007238641952901137
0.0,0.0134705444380964,0.027196613752964845
0.0,0.1280389922741535,0.13894741898687266
0.0,0.0338126573408337,0.05302646153651443
0.0,0.009119939252617,0.020468234792861677
0.0,0.2038885860658924,0.19567722151596784
0.0,0.0026674460101509,0.00832375199056009
0.0,0.0126975080416455,0.02605145116084339
0.0,0.0007660807875649,0.0033266771060931895
0.0,0.0008493366450161,0.003589142345066135
0.0,0.0016941635898933,0.005964072936611804
0.0,0.0120916352746825,0.025140298665154687
0.0,0.0059569876104935,0.01499575439844135
0.0,0.0234389323664822,0.040667684484873526
0.0,0.0010960383051942,0.004329928822599755
1.0,0.0291705335775492,0.04765194425994504
0.0,0.0769307045593515,0.09603542019822003
0.0,0.0012800082066901,0.004853389461609652
0.0,0.0030314092448591,0.009142693933406134
0.0,0.0039170703411571,0.011032783887166997
