y_true,p_hat,p_hat_recal
0.0,0.0105930734573687,0.008185002949655771
0.0,0.010592308306695,0.008184323520794233
0.0,0.0142204695429226,0.011482074651948405
1.0,0.1641815141051349,0.18820149328655558
0.0,0.0302749221246536,0.027376517435620164
0.0,0.0767886292710809,0.0796628581749366
0.0,0.0098140216310416,0.007497135151199991
0.0,0.0123820398192434,0.009792846710317044
0.0,0.0097660054425732,0.00745500065170323
0.0,0.0220897668271707,0.01905274300720921
0.0,0.1148943455758322,0.12601604512137998
0.0,0.0105253146665732,0.008124864026619986
0.0,0.0522997547408424,0.05130725049699056
0.0,0.0098378650606911,0.007518069435108384
0.0,0.0101448645457806,0.007788287911599885
0.0,0.0102497429004012,0.007880885061459179
0.0,0.0106065396739036,0.008196961719045551
0.0,0.1033636238842868,0.11177496548098094
0.0,0.0460142605752478,0.04429318548633597
0.0,0.1386501387038313,0.1557755568395496
0.0,0.0169723121553209,0.014071799393036226
0.0,0.0103668374505526,0.007984436337366216
0.0,0.0125277246939525,0.009925402424289362
0.0,0.0522939790150326,0.05130074794735786
